Id,Street_name,Street_number,District,Sq_mt_built,Sq_mt_useful,N_rooms,N_bathrooms,N_floors,Price,Has_parking_included,Built_year
21742,Calle de Godella,64,1308.89 €/m2) - District 21: Villaverde,64,60,2,1,,85000,NO,1/1/1960
21742,Calle de Godella,64,1308.89 €/m2) - District 21: Villaverde,64,60,2,1,,85000,N,1/1/1960
21739,Calle Pedro Jiménez,43,1617.18 €/m2) - District 21: Villaverde,64,,2,1,,109900,NO,1/1/1955
21739,Calle Pedro Jiménez,43,1617.18 €/m2) - District 21: Villaverde,64,,2,1,,109900,NO,1/1/1955
21738,Carretera de Villaverde a Vallecas,2,1827.79 €/m2) - District 21: Villaverde,108,90,2,2,,260000,Y,1/1/2003
21737,geologia,13,1617.18 €/m2) - District 21: Villaverde,126,114,4,2,,195000,YES,1/1/1981
21733,Calle de Martinez Oviol,5,1827.79 €/m2) - District 21: Villaverde,85,,2,1,,131400,NO,1/1/1950
21732,De la Plata - Villaverde,5,1617.18 €/m2) - District 21: Villaverde,69,,2,2,,118000,NO,1/1/1963
21730,Calle de la Unanimidad,67,1827.79 €/m2) - District 21: Villaverde,123,104,3,2,,195000,NO,1/1/1992
21729,Calle de Anoeta,63,1796.68 €/m2) - District 21: Villaverde,109,90,3,2,,205000,NO,1/1/1983
21728,Calle GODELLA,7,1308.89 €/m2) - District 21: Villaverde,64,,3,1,,72000,NO,1/1/1960
21714,Calle Villajoyosa,3,1827.79 €/m2) - District 21: Villaverde,65,63,3,1,,150000,NO,1/1/1976
21713,Paseo de Alberto Palacios,62,1617.18 €/m2) - District 21: Villaverde,70,63,2,1,,145900,NO,1/1/1968
21712,Calle Laguna del Marquesado,22,1617.18 €/m2) - District 21: Villaverde,75,,1,1,,92500,NO,1/1/2008
21711,Carretera de Villaverde a Vallecas,20,1827.79 €/m2) - District 21: Villaverde,123,,3,2,,298000,YES,1/1/2002
21708,Concepción de la Oliva,21,2197.8 €/m2) - District 21: Villaverde,61,56,3,1,,100000,NO,1/1/1966
21707,San Neviano - Villaverde,3,1617.18 €/m2) - District 21: Villaverde,71,,3,1,,131400,N,1/1/1980
21707,San Neviano - Villaverde,3,1617.18 €/m2) - District 21: Villaverde,71,,3,1,,131400,N,1/1/1980
21702,Calle ESTEFANITA,2,2197.8 €/m2) - District 21: Villaverde,125,,3,3,,275000,NO,1/1/2004
21701,Calle Laguna del Marquesado,44,1617.18 €/m2) - District 21: Villaverde,75,,0,1,,83800,NO,1/1/2008
21697,Villaverde a perales,61,2197.8 €/m2) - District 21: Villaverde,83,69,2,2,,228273,YES,1/1/2020
